country,year,tonnes,eu_rank,share_pct,category,grade,source_ref
Togo,2022,125619,7,4.6,all organic agri-food,B,E22
Tunisia,2022,46453,15,1.7,all organic agri-food,B,E22
Egypt,2022,41296,17,1.5,all organic agri-food,B,E22
Togo,2023,104068,8,,all organic agri-food,B,E21
Morocco,2024,7307,4,5.6,"preparations of fruit, nuts and vegetables",B,E26
Egypt,2024,4404,5,3.4,"preparations of fruit, nuts and vegetables",B,E26
Sierra Leone,2024,9177,1,,organic cocoa (Africa rank),B,S25
DR Congo,2024,4609,2,,organic cocoa (Africa rank),B,S25
Uganda,2024,4580,3,,organic cocoa (Africa rank),B,S25
São Tomé and Príncipe,2024,1000,,,organic cocoa (>1000 t),B,S25
Madagascar,2024,1000,,,organic cocoa (>1000 t),B,S25
Tunisia,2024/25,48900,,,organic olive oil (first 10 months of season),B,E24
Africa total,2024,687395,,,all organic exports (+7.6% y/y),B,S1
Africa cocoa total,2024,22467,,53.3,organic cocoa (share of world 42080 t),B,S25
