indicator,value,unit,data_year,grade,source_ref,note
Certified organic cultivated land,13325,ha,2023,B,M1,FiBL series; peak was 18531 ha in 2022
Certified wild-collection area,273000,ha,2017/18,C,M8,Argan and wild aromatics; contested (861690 / 273000 / 201728 across sources)
Certified operators,650,operators (>),2021,C,M12,No later official count could be verified
Total certified organic production,94795,t,2022,B,M14,Cultivated crops only
Organic exports,20230,t,2022,B,M14,"9000 t fresh + 11230 t processed"
Organic exports,17000,t,2019,C,M22,From 7230 t in 2007
Domestic organic market,1.0,bn MAD,2018,C,M57,Eight years old; no later estimate verified
Organic share of cultivated area - AMP,21,%,n.s.,C,M18,Aromatic and medicinal plants
Organic share of cultivated area - carob,16,%,n.s.,C,M18,
Organic share of cultivated area - olive,13,%,n.s.,C,M18,
Organic share of cultivated area - vegetables,12,%,n.s.,C,M18,
