name,city_region,type,products,certifications,eu_market,scale,verification,source_ref
GIE Targanine,Agadir (Souss-Massa),Economic interest group of 6 women's argan cooperatives (est. 2003),"Culinary and cosmetic argan oil, prickly pear seed oil","Ecocert organic; COSMOS; Fair for Life",Yes,1000+ women across 6 cooperatives,Verified,X1;X2
UCFA - Union des Coopératives des Femmes de l’Arganeraie (Tissaliwine),Agadir / Tiznit / Taroudant / Chtouka Aït Baha / Essaouira,Union of 22 women's cooperatives (est. 1999),Hand-pressed argan oil and derivatives,"Member co-op listed on Ecocert public register: EU organic + USDA NOP",Yes,~1200 women across 6 provinces,Verified,X3;X4;X5
OLVEA Morocco SARL,Argan forest ~20 km from Agadir,Private company (Moroccan subsidiary of French OLVEA group),"Argan oil (cosmetic, food, pharma grade), vegetable oils","Ecocert EU organic (Reg. 2018/848); USDA NOP; PGI Argane; fair-trade chains",Yes,Industrial scale; supplies EU cosmetics and food industry,Verified,X14;X15;X16
Coopérative Marjana,Essaouira (Marrakech-Safi),Women's argan cooperative,Culinary and cosmetic argan oil,"Ecocert EU organic + USDA NOP (public register); PGI",Yes,not published,Verified,X10;X11
Coopérative Agricole Féminine Taitmatine,"Tiout, Taroudant (Souss-Massa)",Women's cooperative (est. 2002),Culinary and cosmetic argan oil,"Ecocert; ONSSA; PGI Argane; Terroir du Maroc; Fair for Life",Yes,100+ women; >20000 argan trees,Verified,X8;X9
Coopérative Tighanimine,"Drarga, Agadir Ida-Outanane",Women's cooperative (est. 2006),"Argan oil, soaps, creams","Fairtrade (FLO) since Nov 2011 - world's first Fairtrade argan producer; organic",Yes,68 to 100+ women,Verified,X12;X13
Coopérative Ajddigue,"Tidzi, Essaouira",Women's cooperative (est. 1997),"Argan oil, soaps, skincare",Ecocert organic,Yes,100+ women,Verified,X6;X7
Les Bios d'Agadir,Agadir (Souss-Massa),Private producer / wholesaler,"Cosmetic and culinary argan oil, prickly pear seed oil, rose and orange blossom water","Ecocert EU organic + USDA NOP (public register); Morocco Foodex lot control",Yes,not published,Verified,X17;X18
Primeurs Bio du Souss (PBS),Biougra / Chtouka Aït Baha (Souss-Massa),Private company; control acquired by French group ProNatura,"Organic tomato, pepper, courgette, cucumber, aubergine, melon; organic citrus",Ecocert,"Yes - distributed in major EU retail chains via ProNatura (France)","8 farms; ~200 ha greenhouse, ~50 ha open field, ~100 ha citrus; ~7000 t vegetables + ~4000 t citrus",Verified,X19;X20;X21
Atlas Olive Oils (Oléastre mill),Meknès region (Fès-Meknès),Private family company (since 1887),"Organic extra-virgin olive oil (Picholine Marocaine, Dahbia, Menara)","USDA Organic; EU organic; China Organic; Kosher; US FDA",Yes,>1 million litres per year,Verified,X22;X23
MAROCAPRES,Fès (Fès-Meknès),Private company,"Capers, caperberries, olives, peppers",Ecocert EU organic + USDA NOP (public register),Yes,not published,Verified,X26;X27
