ref,title,publisher,year,tier,url
M1,Morocco: organic farmland area (FiBL data series),Statista / FiBL,2025,Secondary,https://www.statista.com/statistics/1302526/area-of-organic-farmland-in-morocco/
M7,Country report - Morocco,ISOFAR,2015,Secondary,https://isofar.online/Country-reports/Morocco/
M8,L’agriculture biologique,ONCA (Office National du Conseil Agricole),n.d.,Primary,https://www.onca.gov.ma/fr/filiere-lagriculture-biologique
M9,L’agriculture biologique au Maroc,AgriMaroc.ma,2021,Secondary,https://www.agrimaroc.ma/agriculture-biologique-maroc-2021/
M10,Morocco’s organic agriculture sector sees rapid expansion amid challenges,Hespress EN,n.d.,Secondary,https://en.hespress.com/89904-moroccos-organic-agriculture-sector-sees-rapid-expansion-amid-challenges.html
M11,Résumé du contrat-programme 2023-2030 Génération Green,Maroc Bio,2023,Primary,https://marocbio.info/wp-content/uploads/2023/12/Resume-du-contrat-programme-.pdf
M12,Filière biologique au Maroc: le secteur en pleine expansion,Challenge.ma,n.d.,Secondary,https://www.challenge.ma/filiere-biologique-au-maroc-le-secteur-en-pleine-expansion-269106/
M13,"Filière bio au Maroc: de nombreux défis, mais l’optimisme est de mise",Le360,n.d.,Secondary,https://fr.le360.ma/economie/filiere-bio-au-maroc-de-nombreux-defis-mais-loptimisme-est-de-mise_VDLELGAODNGZZHLUZVOSES2L5I/
M14,Agriculture bio au Maroc: voici la superficie qui y est consacrée,H24info,n.d.,Secondary,https://www.h24info.ma/economie/agriculture-bio-au-maroc-voici-la-superficie-qui-y-est-consacree/
M15,Agriculture biologique: le Maroc vise l’expansion,AgriMaroc.ma,n.d.,Secondary,https://www.agrimaroc.ma/agriculture-biologique-maroc-expansion/
M16,Agriculture biologique / Le bio,Ministère de l’Agriculture (MAPMDREF),n.d.,Primary,https://www.agriculture.gov.ma/fr/filiere/le-bio
M17,Production biologique: la filière en cours de structuration,Aujourd’hui le Maroc,n.d.,Secondary,http://aujourdhui.ma/economie/production-biologique-la-filiere-en-cours-de-structuration
M18,L’agriculture biologique au Maroc,Hortimedia,n.d.,Secondary,https://hortimedia.ma/lagriculture-biologique-au-maroc/
M21,Agriculture biologique: une ambition nationale en marche,INRA Maroc,2024,Primary,https://www.inra.org.ma/fr/content/29072024-25-ans-de-regne-agriculture-biologique-une-ambition-nationale-en-marche
M22,L’agriculture biologique au Maroc,Le Blog d’Agadir,2021,Weak,https://agadirmichelterrier.wordpress.com/2021/03/22/lagriculture-biologique-au-maroc/
M23,Réflexions sur l’argan du Maroc et son développement,AgriMaroc.ma,n.d.,Secondary,https://www.agrimaroc.ma/huile-argan-maroc-arganier/
M25,La filière des plantes aromatiques et médicinales au Maroc,AgriMaroc.ma,n.d.,Secondary,https://www.agrimaroc.ma/la-filiere-des-plantes-aromatiques-et-medicinales-au-maroc/
M26,Fruits rouges: déjà 66 000 tonnes exportées les 3 premiers mois de 2024,Hespress FR,2024,Secondary,https://fr.hespress.com/370465-fruits-rouges-deja-66-000-tonnes-exportes-les-3-premiers-mois-de-2024.html
M28,"La filière biologique au Maroc: état des lieux, enjeux et perspectives",Revue-IRS,n.d.,Secondary,https://www.revue-irs.com/index.php/home/article/download/1168/780
M30,"Drâa-Tafilalet: les coopératives des dattes, vecteur de développement local",Maroc.ma,n.d.,Primary,https://maroc.ma/fr/actualites/draa-tafilalet-les-cooperatives-des-dattes-vecteur-de-developpement-socio-economique-local
M32,Génération Green 2020-2030,Ministère de l’Agriculture (MAPMDREF),2020,Primary,https://www.agriculture.gov.ma/fr/ministere/generation-green-2020-2030
M33,Signature de 19 contrats-programmes d’un montant de 110 milliards de dirhams,TelQuel,2023,Secondary,https://telquel.ma/instant-t/2023/05/05/filieres-de-production-agricole-signature-de-19-contrat-programmes-dun-montant-de-110-milliards-de-dirhams_1810271/
M36,Génération Green: les détails du nouveau contrat programme avec Maroc Bio,INRA Maroc,2023,Primary,https://www.inra.org.ma/fr/content/12052023-generation-green-les-details-du-nouveau-contrat-programme-avec-maroc-bio
M37,"1,5 milliard de dirhams pour développer l’agriculture biologique",Medias24,2023,Secondary,https://medias24.com/2023/06/15/15-milliard-de-dirhams-pour-developper-lagriculture-biologique/
M39,Label bio: les décrets d’application validés,Medias24,2013,Secondary,https://medias24.com/2013/12/18/label-bio-les-decrets-dapplication-valides/
M40,Agriculture biologique: le cadre légal se met en place,La Vie éco,n.d.,Secondary,https://lavieeco.com/economie/agriculture-biologique-le-cadre-legal-se-met-en-place-25024
M41,Loi n° 39-12 relative à la production biologique des produits agricoles et aquatiques,FAOLEX / Ecolex,2013,Primary,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC134688/
M43,Texte de la loi 39-12 (PDF),ONSSA,2013,Primary,https://www.onssa.gov.ma/wp-content/uploads/2022/06/Reglementation/C.Reglementation-Connexe/2.%20Agriculture%20Biologique/LOI.39-12.FR.pdf
M44,Décrets commission biologique,Morocco Foodex,2020,Primary,https://www.moroccofoodex.org.ma/wp-content/uploads/2020/02/Decrets_commission_biologique.pdf
M47,La certification des produits biologiques désormais subventionnée / barème des aides FDA,Aujourd’hui le Maroc / FDA,n.d.,Primary,https://www.agrimaroc.ma/wp-content/uploads/aides_fda.pdf
M48,Site officiel,ONSSA,n.d.,Primary,https://www.onssa.gov.ma/
M50,Suspension de la reconnaissance de la Fimabio,FOOD Magazine,n.d.,Secondary,http://www.foodmagazine.ma/?p=3321
M51,Filière bio: une interprofession vient de naître,LesEco.ma,2022,Secondary,https://leseco.ma/maroc/filiere-bio-une-interprofession-vient-de-naitre-pour-accelerer-la-cadence-des-chantiers.html
M52,Certification bio: Ecocert Maroc agréée,L’Économiste,2018,Secondary,https://www.leconomiste.com/article/1032158-certification-bio-ecocert-maroc-agreee
M53,Certification biologique: CCPB Maroc renforce son ancrage à Agadir,LesEco.ma,n.d.,Secondary,https://leseco.ma/maroc/certification-biologique-ccpb-maroc-renforce-son-ancrage-a-agadir.html
M57,Bio: le marché marocain vaut 1 milliard de dirhams,Infomédiaire,2018,Secondary,https://www.infomediaire.net/bio-le-marche-marocain-vaut-1-milliard-de-dirhams/
M59,Grande distribution alimentaire: un marché en pleine expansion,Le360,2024,Secondary,https://fr.le360.ma/economie/grande-distribution-alimentaire-un-marche-en-pleine-expansion-porte-par-six-grands-acteurs_BEKQCR2IF5F2TMXK6VEOWFIMMU/
M60,Alimentation: où peut-on trouver du bio au Maroc?,H24info,n.d.,Secondary,https://www.h24info.ma/maroc/alimentation-ou-peut-on-trouver-du-bio-au-maroc/
M63,La filière biologique au Maroc (record 17442177),Zenodo,n.d.,Secondary,https://zenodo.org/records/17442177
M64,"Stress hydrique: le taux de remplissage des barrages dépasse 28,47% en 2024",L’Opinion,2024,Secondary,https://www.lopinion.ma/Stress-hydrique-Le-taux-de-remplissage-des-barrages-depasse-2847-en-2024_a61969.html
