indicator,value,unit,data_year,grade,source_ref
World organic agricultural land,98.9,million ha,2024,B,D1
World organic share of farmland,2.1,%,2024,B,D1
World organic producers,4.8,million,2024,B,D1
Africa organic agricultural land,2.8,million ha,2024,B,S1
Africa organic agricultural land,3.4,million ha,2023,B,S2
Africa share of world organic land,2.8,%,2024,B,S7
Africa organic producers,972000,producers,2023,B,S3
Africa organic land as share of Africa farmland,0.3,%,2023,B,S3
EU organic farmland (FiBL basis),18.1,million ha,2024,B,D6
EU organic share of farmland (FiBL basis),11.1,%,2024,B,D6
EU organic share of farmland (Eurostat basis),10.7,%,2024,C,D22
